website,timestamp,action,duration,user
https://www.theguardian.com,2025-04-15T16:50:44.328160,open_website,-1,0
https://www.theguardian.com,2025-04-15T16:50:58.405356,inactive_wait,5,0
https://www.theguardian.com,2025-04-15T16:50:59.596197,open_website,-1,0
https://www.theguardian.com,2025-04-15T16:50:59.600066,wait,3,0
https://www.theguardian.com,2025-04-15T16:51:02.605229,wait,5,0
https://www.theguardian.com,2025-04-15T16:51:07.610904,wait,2,0
https://www.theguardian.com,2025-04-15T16:51:10.223230,open_website,-1,0
https://www.theguardian.com,2025-04-15T16:51:10.226868,wait,2,0
https://www.theguardian.com,2025-04-15T16:51:12.232096,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:51:32.601273,scroll_duration,20.368841886520386,0
https://www.theguardian.com,2025-04-15T16:51:32.601519,wait,2,0
https://www.theguardian.com,2025-04-15T16:51:34.607183,wait,4,0
https://www.theguardian.com,2025-04-15T16:51:38.612812,wait,3,0
https://www.theguardian.com,2025-04-15T16:51:41.618679,wait,5,0
https://www.theguardian.com,2025-04-15T16:51:46.941849,open_website,-1,0
https://www.theguardian.com,2025-04-15T16:51:46.944288,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:51:47.254533,scroll_duration,0.3100578784942627,0
https://www.theguardian.com,2025-04-15T16:51:47.254643,wait,4,0
https://www.theguardian.com,2025-04-15T16:51:51.258262,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:51:55.976565,scroll_duration,4.717575788497925,0
https://www.theguardian.com,2025-04-15T16:51:55.976888,wait,3,0
https://www.theguardian.com,2025-04-15T16:51:58.982858,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:52:09.301367,scroll_duration,10.317713975906372,0
https://www.theguardian.com,2025-04-15T16:52:09.301663,wait,4,0
https://www.theguardian.com,2025-04-15T16:52:13.307584,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:52:21.528669,scroll_duration,8.220229864120483,0
https://www.theguardian.com,2025-04-15T16:52:21.529014,wait,5,0
https://www.theguardian.com,2025-04-15T16:52:26.534966,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:52:27.573636,scroll_duration,1.0379929542541504,0
https://www.theguardian.com,2025-04-15T16:52:27.573866,wait,3,0
https://www.theguardian.com,2025-04-15T16:52:30.579760,wait,4,0
https://www.theguardian.com,2025-04-15T16:52:34.585206,wait,3,0
https://www.theguardian.com,2025-04-15T16:52:38.419694,open_website,-1,0
https://www.theguardian.com,2025-04-15T16:52:38.422268,scroll,-1,0
https://www.theguardian.com,2025-04-15T16:52:48.350634,scroll_duration,9.928175210952759,0
https://www.theguardian.com,2025-04-15T16:52:48.350810,wait,3,0
https://www.theguardian.com,2025-04-15T16:52:51.356354,scroll,-1,0
