website,timestamp,action,duration,user
https://www.tiktok.com/foryou,2025-04-17T13:50:24.534464,open_website,-1,0
https://www.tiktok.com,2025-04-17T13:50:25.318437,inactive_wait,-1,0
https://www.tiktok.com,2025-04-17T13:50:25.328300,wait,2.0032944057819266,0
https://www.tiktok.com,2025-04-17T13:50:27.394224,scroll,-1,0
https://www.tiktok.com,2025-04-17T13:50:27.394381,inactive_wait,2,0
https://www.tiktok.com,2025-04-17T13:50:29.399926,inactive_wait,-1,0
https://www.tiktok.com,2025-04-17T13:50:29.417574,wait,5.359737919202331,0
https://www.tiktok.com,2025-04-17T13:50:34.826639,scroll,-1,0
https://www.tiktok.com,2025-04-17T13:50:34.826958,inactive_wait,2,0
https://www.tiktok.com,2025-04-17T13:50:36.832607,inactive_wait,-1,0
https://www.tiktok.com,2025-04-17T13:50:36.848545,wait,84.91484719276274,0
